Filename,Extracted Values
X8XZI9MH,"{'Called up share capital not paid ': 'nan', 'Fixed Assets ': '100000', 'Current Assets ': '300000', 'Prepayments and accrued income ': '150000', 'Net current assets (liabilities) ': '450000', 'Total assets less current liabilities ': '550000', 'Total net assets (liabilities) ': '550000', 'Capital and reserves ': '550000'}"
X8XZI9Y0,"{'Fixed assets ': '770', 'Current assets ': '98600', 'Creditors: amounts falling due within one year ': '-15032', 'Net current assets ': '83568', 'Total assets less current liabilities ': '84338', 'Accruals and deferred income ': '-3850', 'Net assets ': '80488', 'Capital and reserves ': '80488', '1 Average number of employee ': 'nan'}"
X8XZI954,"{'Called up share capital not paid ': '000', 'Current assets ': 'nan', 'Cash at bank and in hand ': '10000', 'Net assets ': '10000', 'Issued share capital ': 'nan', '100 Ordinary Shares of Â£1.00 each ': '10000', 'Total Shareholder funds ': '10000'}"
X8XZIB3U,"{'Called up share capital not paid ': 'nan', 'Fixed Assets ': '780', 'Current Assets ': '2942', 'Creditors: amounts falling due within one year ': '-5690', 'Net current assets (liabilities) ': '-2748', 'Total assets less current liabilities ': '-1968', 'Total net assets (liabilities) ': '-1968', 'Capital and reserves ': '-1968'}"
X8XZIBDK,"{'Called up share capital not paid ': 'nan', 'Fixed Assets ': 'nan', 'Current Assets ': 'nan', 'Prepayments and accrued income ': 'nan', 'Creditors: amounts falling due within one year ': 'nan', 'Net current assets (liabilities) ': 'nan', 'Total assets less current liabilities ': 'nan', 'Creditors: amounts falling due after more than one year ': 'nan', 'Provisions for liabilities ': 'nan', 'Accruals and deferred income ': 'nan', 'Total net assets (liabilities) ': 'nan', 'Capital and reserves ': 'nan'}"
X8XZIBXE,"{'Net assets ': 'nan', 'Reserves ': 'nan'}"
X8XZIBZD,"{'Called up share capital not paid ': 'nan', 'Current Assets ': '1015', 'Net current assets (liabilities) ': '1015', 'Total assets less current liabilities ': '1016', 'Total net assets (liabilities) ': '1016', 'Capital and reserves ': '1016'}"
X8XZICIB,"{'Current assets ': 'nan', 'Cash at bank and in hand ': '100', 'Net assets ': '100', 'Issued share capital ': 'nan', '100 Ordinary Shares of Â£ | each ': '100', 'Total Shareholder funds ': '100'}"
X8XZICNE,"{'Current assets ': 'nan', 'Cash at bank and in hand ': '100', 'Net assets ': '100', 'Issued share capital ': 'nan', '100 Ordinary Shares 1 of Â£ each ': '100', 'Total Shareholder funds ': '100'}"
X8XZICQX,"{'Current assets ': 'nan', 'Cash at bank and in hand ': 'nan', 'Net assets ': 'nan', 'Issued share capital ': 'nan', '1 Ordinary Share 1 of Â£ each ': 'nan', 'Total Shareholder funds ': 'nan'}"
X8XZIDG2,"{'Called up share capital not paid ': 'nan', 'Fixed Assets ': 'nan', 'Current Assets ': 'nan', 'Net current assets (liabilities) ': 'nan', 'Total assets less current liabilities ': 'nan', 'Total net assets (liabilities) ': 'nan', 'Capital and reserves ': 'nan'}"
X8XZIDMH,"{'Current assets ': 'nan', 'Cash at bank and in hand ': 'nan', 'Net assets ': 'nan', 'Issued share capital ': 'nan', '1 Ordinary Share 1 of Â£ each ': 'nan', 'Total Shareholder funds ': 'nan'}"
X8XZIE17,"{'Called up share capital not paid ': '100', 'Net assets ': '100', 'Tssued share capital ': 'nan', '1 Ordinary Share of Â£ 100 each ': '100', 'Total Shareholder funds ': '100'}"
X8XZIEI1,"{'Fixed assets ': '16564', 'Current assets ': '5731', 'Creditors: amounts falling due within ': 'nan', 'one year ': '71', 'Net current assets ': '6442', 'Total assets less current liabilities ': '23006', 'Creditors: amounts falling due after ': 'nan', 'more than one year ': '-7820', 'Accruals and deferred income ': '-450', 'Net assets ': '14736', 'Capital and reserves ': '14736'}"
X8XZIF16,"{'Current Assets ': '5369', 'Creditors: amounts falling due within one year ': '-1285', 'Net current assets (liabilities) ': '4084', 'Total assets less current liabilities ': '4084', 'Total net assets (liabilities) ': '4084', 'Capital and reserves ': '4084'}"
X8XZIFE8,"{'Current assets ': 'nan', 'Cash at bank and in hand ': 'nan', 'Net assets ': 'nan', 'Issued share capital ': 'nan', '5 Ordinary Shares 1 of Â£ each ': 'nan', 'Total Shareholder funds ': 'nan'}"
X8XZIFNV,"{'Fixed Assets ': '2845', 'Current Assets ': '176642', 'Creditors: amounts falling due within one year ': '-64698', 'Net current assets (liabilities) ': '111944', 'Total assets less current liabilities ': '114789', 'Provisions for liabilities ': '-541', 'Total net assets (liabilities) ': '114248', 'Capital and reserves ': '114248'}"
X8XZIFZL,"{'Called up share capital not paid ': 'nan', 'Net assets ': 'nan', 'Tssued share capital ': 'nan', '1 Ordinary Share 1 of Â£ each ': 'nan', 'Total Shareholder funds ': 'nan'}"
X8XZIG2X,"{'Called up share capital not paid ': '200', 'Net assets ': '200', 'Tssued share capital ': 'nan', '200 Ordinary Shares 1 of Â£ each ': '200', 'Total Shareholder funds ': '200'}"
X8XZIGW8,"{'Fixed assets ': '14000', 'Current assets ': '1820', 'Creditors: amounts falling due within ': 'nan', 'one year ': '-15732', 'Net current liabilities ': '-13912', 'Total assets less current liabilities ': '88', 'Creditors: amounts falling due after ': 'nan', 'more than one year ': '-10681', 'Net liabilities ': '-10593', 'Capital and reserves ': '-10593', 'Number Number ': 'nan', 'Average number of employee ': 'nan'}"
X8XZIIRN,"{'Called up share capital not paid ': 'nan', 'Net assets ': 'nan', 'Tssued share capital ': 'nan', '1 Ordinary Share 1 of Â£ each ': 'nan', 'Total Shareholder funds ': 'nan'}"
X8XZIIW2,"{'Current assets ': 'nan', 'Cash at bank and in hand ': 'nan', 'Net assets ': 'nan', 'Issued share capital ': 'nan', '1 Ordinary Share 1 of Â£ each ': 'nan', 'Total Shareholder funds ': 'nan'}"
X8XZIIYQ,"{'Net assets ': 'nan', 'Reserves ': 'nan'}"
X8XZIJC8,"{'Called up share capital not paid ': '100', 'Net assets ': '100', 'Tssued share capital ': 'nan', '100 Ordinary Shares of Â£ | each ': '100', 'Total Shareholder funds ': '100'}"
X8XZIKDF,"{'Called up share capital not paid ': 'nan', 'Current Assets ': '7078', 'Creditors: amounts falling due within one year ': '-7047', 'Net current assets (liabilities) ': '31', 'Total assets less current liabilities ': '35', 'Total net assets (liabilities) ': '35', 'Capital and reserves ': '35'}"
X8XZIKJ6,"{'Current assets ': 'nan', 'Cash at bank and in hand ': '100', 'Net assets ': '100', 'Issued share capital ': 'nan', '100 Ordinary Shares 1 of Â£ each ': '100', 'Total Shareholder funds ': '100'}"
X8XZIKOX,"{'Fixed Assets ': '13082', 'Current Assets ': '13133', 'Creditors: amounts falling due within one year ': '-25263', 'Net current assets (liabilities) ': '-12130', 'Total assets less current liabilities ': '952', 'Total net assets (liabilities) ': '952', 'Capital and reserves ': '952'}"
X8XZIMDT,"{'Called up share capital not paid ': 'nan', 'Fixed Assets ': 'nan', 'Current Assets ': 'nan', 'Net current assets (liabilities) ': 'nan', 'Total assets less current liabilities ': 'nan', 'Creditors: amounts falling due after more than one year ': 'nan', 'Total net assets (liabilities) ': 'nan', 'Capital and reserves ': 'nan'}"
X8XZIMKG,"{'Current Assets ': '196', 'Creditors: amounts falling due within one year ': '-18', 'Net current assets (liabilities) ': '178', 'Total assets less current liabilities ': '178', 'Total net assets (liabilities) ': '178', 'Capital and reserves ': '178'}"
X8XZIML4,"{'Current assets ': 'nan', 'Cash at bank and in hand ': '50', 'Net assets ': '50', 'Issued share capital ': 'nan', '50 Preference Shares 1 of Â£ each ': '50', 'Total Shareholder funds ': '50'}"
X8XZIMQ3,"{'Called up share capital not paid ': 'nan', 'Net assets ': 'nan', 'Tssued share capital ': 'nan', '1 Ordinary Share 1 of Â£ each ': 'nan', 'Total Shareholder funds ': 'nan'}"
X8XZIN35,"{'Called up share capital not paid ': 'nan', 'Net assets ': 'nan', 'Tssued share capital ': 'nan', '2 Ordinary Shares 1 of Â£ each ': 'nan', 'Total Shareholder funds ': 'nan'}"
X8XZINN6,"{'Called up share capital not paid ': 'nan', 'Net assets ': 'nan', 'Tssued share capital ': 'nan', '1 Ordinary Share 1 of Â£ each ': 'nan', 'Total Shareholder funds ': 'nan'}"
X8XZIO5G,"{'Fixed assets ': '720', 'Current assets ': '2288', 'Creditors: Amounts falling due within one year ': '-7592', 'Net current liabilities ': '-5304', 'Total assets less current liabilities ': '-4584', 'Accruals and deferred income ': '-420', '': '-5004', 'Capital and reserves ': '-5004', '1 General information ': 'nan'}"
X8XZIOFU,"{'Fixed Assets ': '7809', 'Current Assets ': '30481', 'Creditors: amounts falling due within one year ': '-3864', 'Net current assets (liabilities) ': '26617', 'Total assets less current liabilities ': '34426', 'Total net assets (liabilities) ': '34426', 'Capital and reserves ': '34426'}"
X8XZIOKY,"{'Current Assets ': '10000', 'Net current assets (liabilities) ': '10000', 'Total assets less current liabilities ': '10000', 'Total net assets (liabilities) ': '10000', 'Capital and reserves ': '10000'}"
X8XZIOV4,"{'Called up share capital not paid ': '100', 'Net assets ': '100', 'Tssued share capital ': 'nan', '100 A Shares 1 of Â£ each ': '100', 'Total Shareholder funds ': '100'}"
X8XZIOXK,"{'Called up share capital not paid ': 'nan', 'Net assets ': 'nan', 'Tssued share capital ': 'nan', '1 Ordinary Share 1 of Â£ each ': 'nan', 'Total Shareholder funds ': 'nan'}"
X8XZIP1V,"{'Current assets ': 'nan', 'Cash at bank and in hand 2 ': 'nan', 'Creditors: amounts falling ': 'nan', 'due within one year 5 ': 'nan', 'Net current assets ': 'nan', 'Net assets ': 'nan', 'Capital and reserves ': 'nan', 'Called up share capital 3 ': 'nan', 'Shareholders funds ': 'nan'}"
X8XZIPBM,"{'Fixed Assets ': '88750', 'Current Assets ': '110263', 'Creditors: amounts falling due within one year ': '-32441', 'Net current assets (liabilities) ': '77822', 'Total assets less current liabilities ': '166572', 'Creditors: amounts falling due after more than one ': 'nan', '': '-42811', 'Total net assets (liabilities) ': '123761', 'Capital and reserves ': '123761'}"
X8XZIPGP,"{'Called up share capital not paid ': '100', 'Net assets ': '100', 'Tssued share capital ': 'nan', '100 100 Shares 1 of Â£ each ': '100', 'Total Shareholder funds ___ ': '100'}"
X8XZIPWZ,"{'Called up share capital not paid ': 'nan', 'Fixed Assets ': 'nan', 'Current Assets ': 'nan', 'Prepayments and accrued income ': 'nan', 'Creditors: amounts falling due within one year ': 'nan', 'Net current assets (liabilities) ': 'nan', 'Total assets less current liabilities ': 'nan', 'Creditors: amounts falling due after more than one year ': 'nan', 'Provisions for liabilities ': 'nan', 'Accruals and deferred income ': 'nan', 'Total net assets (liabilities) ': 'nan', 'Capital and reserves ': 'nan'}"
X8XZIQ16,"{'Current Assets ': '4450', 'Creditors: amounts falling due within one year ': '-4350', 'Net current assets (liabilities) ': '100', 'Total assets less current liabilities ': '100', 'Total net assets (liabilities) ': '100', 'Capital and reserves ': '100'}"
X8XZIQEG,"{'Current assets ': 'nan', 'Cash at bank and in hand ': 'nan', 'Net assets ': 'nan', 'Issued share capital ': 'nan', '1 Ordinary Share 1 of Â£ each ': 'nan', 'Total Shareholder funds ': 'nan'}"
X8XZIR1E,"{'Fixed Assets ': '46754', 'Current Assets ': '8268', 'Creditors: amounts falling due within one year ': '-64798', 'Net current assets (liabilities) ': '-56530', 'Total assets less current liabilities ': '-9776', 'Provisions for liabilities ': '-7458', 'Accruals and deferred income ': '-1200', 'Total net assets (liabilities) ': '-18434', 'Capital and reserves ': '-18434'}"
X8XZIR3U,"{'Fixed Assets ': '8326', 'Current Assets ': '17380', 'Creditors: amounts falling due within one year ': '-23723', 'Net current assets (liabilities) ': '-6343', 'Total assets less current liabilities ': '1983', 'Total net assets (liabilities) ': '1983', 'Capital and reserves ': '1983'}"
X8XZIR7V,"{'Fixed Assets ': '25000', 'Current Assets ': 'nan', 'Net current assets (liabilities) ': 'nan', 'Total assets less current liabilities ': '25000', 'Creditors: amounts falling due after more than one ': 'nan', '': '-24998', 'Total net assets (liabilities) ': 'nan', 'Capital and reserves ': 'nan'}"
X8XZIRI8,"{'Called up share capital not paid ': 'nan', 'Fixed Assets ': 'nan', 'Current Assets ': '24404', 'Creditors: amounts falling due within one year ': '-26602', 'Net current assets (liabilities) ': '-2198', 'Total assets less current liabilities ': '-2198', 'Creditors: amounts falling due after more than one year ': 'nan', 'Provisions for liabilities ': 'nan', 'Accruals and deferred income ': 'nan', 'Total net assets (liabilities) ': '-2198', 'Capital and reserves ': '-2198'}"
X8XZIS4B,"{'Fixed Assets ': '960', 'Current Assets ': '1541', 'Creditors: amounts falling due within one year ': '-1209', 'Net current assets (liabilities) ': '332', 'Total assets less current liabilities ': '1292', 'Total net assets (liabilities) ': '1292', 'Capital and reserves ': '1292'}"
X8XZIS7K,"{'Current assets ': 'nan', 'Creditors: amounts falling due within one year ': 'nan', 'Net current assets ': 'nan', 'Total assets less current liabilities ': 'nan', 'Accruals and deferred income ': 'nan', 'Net assets ': 'nan', 'Capital and reserves ': 'nan', '1 Average number of employee ': 'nan'}"
X8XZIS17,"{'Called up share capital not paid ': 'nan', 'Net assets ': 'nan', 'Tssued share capital ': 'nan', '2 Ordinary Shares 1 of Â£ each ': 'nan', 'Total Shareholder funds ': 'nan'}"
X8XZISVF,"{'Current assets ': 'nan', 'Cash at bank and in hand ': '20', 'Net assets ': '20', 'Issued share capital ': 'nan', '20 Ordinary Shares 1 of Â£ each ': '20', 'Total Shareholder funds ': '20'}"
X8XZIT2O,"{'Current assets ': 'nan', 'Cash at bank and in hand ': '12', 'Net assets ': '12', 'Issued share capital ': 'nan', '12 Ordinary Shares 1 of Â£ each ': '12', 'Total Shareholder funds ': '12'}"
X8XZITQ8,"{'Called up share capital not paid ': 'nan', 'Net assets ': 'nan', 'Tssued share capital ': 'nan', '1 Ordinary Share 1 of Â£ each ': 'nan', 'Total Shareholder funds ': 'nan'}"
X8XZIUTL,"{'Called up share capital not paid ': 'nan', 'Net assets ': 'nan', 'Tssued share capital ': 'nan', '2 Ordinary Shares 1 of Â£ each ': 'nan', 'Total Shareholder funds ': 'nan'}"
X8XZIV4B,"{'Current assets ': 'nan', 'Cash at bank and in hand ': 'nan', 'Net assets ': 'nan', 'Issued share capital ': 'nan', '3 Ordinary Shares 1 of Â£ each ': 'nan', 'Total Shareholder funds ': 'nan'}"
X8XZIVMX,"{'Called up share capital not paid ': '100', 'Net assets ': '100', 'Tssued share capital ': 'nan', '100 Ordinary Shares 1 of Â£ each ': '100', 'Total Shareholder funds ': '100'}"
X8XZIW68,"{'Called up share capital not paid ': '100', 'Net assets ': '100', 'Tssued share capital ': 'nan', '100 Ordinary Shares 1 of Â£ each ': '100', 'Total Shareholder funds ': '100'}"
X8XZIWEH,"{'Called up share capital not paid ': 'nan', 'Net assets ': 'nan', 'Tssued share capital ': 'nan', '6 Ordinary Shares 1 of Â£ each ': 'nan', 'Total Shareholder funds ': 'nan'}"
X8XZIWI2,"{'Current Assets ': '50960', 'Creditors: amounts falling due within one year ': '-17778', 'Net current assets (liabilities) ': '33182', 'Total assets less current liabilities ': '33182', 'Total net assets (liabilities) ': '33182', 'Capital and reserves ': '33182'}"
X8Y2EPBT,"{'Fixed Assets ': '1369', 'Current Assets ': '24799', 'Creditors: amounts falling due within one year ': '-6106', 'Net current assets (liabilities) ': '18693', 'Total assets less current liabilities ': '20062', 'Total net assets (liabilities) ': '20062', 'Capital and reserves ': '20062'}"
X8Y2EPNN,"{'Fixed Assets ': '14800', 'Current Assets ': '570', 'Net current assets (liabilities) ': '570', 'Total assets less current liabilities ': '15370', 'Creditors: amounts falling due after more than one year ': '-18659', 'Total net assets (liabilities) ': '-3289', 'Capital and reserves ': '-3289'}"
X8Y2EPVK,"{'Fixed Assets ': '3650', 'Current Assets ': '7721', 'Creditors: amounts falling due within one year ': '-8776', 'Net current assets (liabilities) ': '-1055', 'Total assets less current liabilities ': '2595', 'Total net assets (liabilities) ': '2595', 'Capital and reserves ': '2595'}"
X8Y2ER1U,"{'Called up share capital not paid ': '100', 'Net assets ': '100', 'Tssued share capital ': 'nan', '100 Ordinary Shares 1 of Â£ each ': '100', 'Total Shareholder funds ': '100'}"
X8Y2ESHT,"{'Current Assets ': '595', 'Creditors: amounts falling due within one year ': '-8297', 'Net current assets (liabilities) ': '-7702', 'Total assets less current liabilities ': '-7702', 'Total net assets (liabilities) ': '-7702', 'Capital and reserves ': '-7702'}"
X8Y2ESJM,"{'Current assets ': 'nan', 'Cash at bank and in hand ': '10', 'Net assets ': '10', 'Issued share capital ': 'nan', '1000 Ordinary Shares of Â£ 0.01 each ': '10', 'Total Shareholder funds ': '10'}"
X8Y2ESK2,"{'Called up share capital not paid ': 'nan', 'Fixed Assets ': '52260', 'Current Assets ': '44130', 'Prepayments and accrued income ': 'nan', 'Creditors: amounts falling due within one year ': '-121079', 'Net current assets (liabilities) ': '-76949', 'Total assets less current liabilities ': '-24689', 'Creditors: amounts falling due after more than one ': 'nan', '': 'nan', 'Provisions for liabilities ': 'nan', 'Accruals and deferred income ': '-19420', 'Total net assets (liabilities) ': '-44109', 'Capital and reserves ': '-44109'}"
X8Y2ETEY,"{'Called up share capital not paid ': 'nan', 'Net assets ': 'nan', 'Tssued share capital ': 'nan', '1 Ordinary Share 1 of Â£ each ': 'nan', 'Total Shareholder funds ': 'nan'}"
X8Y2ETP7,"{'Called up share capital not paid ': '100', 'Net assets ': '100', 'Tssued share capital ': 'nan', '100 Ordinary Shares of Â£ | each ': '100', 'Total Shareholder funds ': '100'}"
X8Y2EUWP,"{'Fixed Assets ': '1164', 'Current Assets ': '321', 'Creditors: amounts falling due within one year ': '-2719', 'Net current assets (liabilities) ': '-2398', 'Total assets less current liabilities ': '-1234', 'Total net assets (liabilities) ': '-1234', 'Capital and reserves ': '-1234'}"
X8Y2EY7M,"{'Called up share capital not paid ': 'nan', 'Current assets ': 'nan', 'Cash at bank and in hand ': '100', 'Net assets ': '100', 'Authorised share capital ': 'nan', '100 ORDINARY SHARES of Â£1 each ': '100', 'Issued share capital ': 'nan', 'Total shareholder funds ': '100'}"
X8Y2EYGW,"{'Current Assets ': 'nan', 'Creditors: amounts falling due within one year ': 'nan', 'Net current assets (liabilities) ': 'nan', 'Total assets less current liabilities ': 'nan', 'Total net assets (liabilities) ': 'nan', 'Capital and reserves ': 'nan'}"
X8Y2EYNK,"{'Called up share capital not paid ': 'nan', 'Current assets ': 'nan', 'Cash at bank and in hand ': '100', 'Net assets ': '100', 'Authorised share capital ': 'nan', '100 ORDINARY SHARES of Â£1 each ': '100', 'Issued share capital ': 'nan', 'Total shareholder funds ': '100'}"
X8Y2EZ9S,"{'Called up share capital not paid ': 'nan', 'Net assets ': 'nan', 'Tssued share capital ': 'nan', '1 Ordinary Share 1 of Â£ each ': 'nan', 'Total Shareholder funds ': 'nan'}"
X8Y2EZF0,"{'Creditors: amounts falling due within one year ': '-16666', 'Net current assets (liabilities) ': '-16666', 'Total assets less current liabilities ': '-16666', 'Total net assets (liabilities) ': '-16666', 'Capital and reserves ': '-16666'}"
X8Y2EZHT,"{'Current assets ': 'nan', 'Creditors: amounts falling due within ': 'nan', 'one year ': 'nan', 'Net current assets ': 'nan', 'Total assets less current liabilities ': 'nan', 'Accruals and deferred income ': 'nan', 'Net assets ': 'nan', 'Capital and reserves ': 'nan', 'Average number of employee ': 'nan'}"
X8Y2F0HE,"{'Current assets ': '198', 'Creditors: amounts falling due within ': 'nan', 'one year ': '3893', 'Net current assets ': '4091', 'Total assets less current liabilities ': '4091', 'Accruals and deferred income ': '-1600', 'Net assets ': '2491', 'Capital and reserves ': '2491'}"
X8Y2F0L6,"{'Called up share capital not paid ': 'nan', 'Current assets ': 'nan', 'Cash at bank and in hand ': '100', 'Net assets ': '100', 'Authorised share capital ': 'nan', '100 ORDINARY SHARES of Â£1 each ': '100', 'Issued share capital ': 'nan', 'Total shareholder funds ': '100'}"
X8Y2F3JL,"{'Current assets ': 'nan', 'Cash at bank and in hand ': 'nan', 'Net assets ': 'nan', 'Issued share capital ': 'nan', '1 Ordinary Share 1 of Â£ each ': 'nan', 'Total Shareholder funds ': 'nan'}"
X8Y2F3V7,"{'Called up share capital not paid ': '100', 'Net assets ': '100', 'Tssued share capital ': 'nan', '100 Ordinary Shares of Â£ | each ': '100', 'Total Shareholder funds ': '100'}"
X8Y2F4BD,"{'Current Assets ': '151', 'Creditors: amounts falling due within one year ': '-150', 'Net current assets (liabilities) ': 'nan', 'Total assets less current liabilities ': 'nan', 'Total net assets (liabilities) ': 'nan', 'Capital and reserves ': 'nan'}"
X8Y2F4HM,"{'Fixed Assets ': '17827', 'Current Assets ': '21721', 'Creditors: amounts falling due within one year ': '-2700', 'Net current assets (liabilities) ': '19021', 'Total assets less current liabilities ': '36848', 'Total net assets (liabilities) ': '36848', 'Reserves ': '36848'}"
X8Y2F4YW,"{'Fixed Assets ': '1078', 'Total assets less current liabilities ': '1078', 'Total net assets (liabilities) ': '1078', 'Capital and reserves ': '1078'}"
X8Y2F14H,"{'Current Assets ': '15', 'Net current assets (liabilities) ': '15', 'Total assets less current liabilities ': '15', 'Creditors: amounts falling due after more than one ': 'nan', '': '-5822', 'Total net assets (liabilities) ': '-5807', 'Capital and reserves ': '-5807'}"
